id	Disese	Call	ProbeID	Status
cg19633487	RA	Methy	cg19633487	hyper
cg09105687	RA	Methy	cg09105687	hyper
cg22489883	RA	Methy	cg22489883	hyper
cg11707310	RA	Methy	cg11707310	hyper
cg05838104	RA	Methy	cg05838104	hyper
cg14510359	RA	Unmethy	cg14510359	hypo
cg00980319	RA	Unmethy	cg00980319	hypo
cg03709938	RA	Unmethy	cg03709938	hypo
cg16022081	RA	Methy	cg16022081	hyper
cg21162779	RA	Methy	cg21162779	hyper
cg17429686	RA	Methy	cg17429686	hyper
cg19159961	RA	Methy	cg19159961	hyper
cg23228178	RA	Methy	cg23228178	hyper
cg16091981	RA	Unmethy	cg16091981	hypo
cg17785802	RA	Unmethy	cg17785802	hypo
cg14561834	RA	Unmethy	cg14561834	hypo
cg07077978	RA	Methy	cg07077978	hyper
cg13193455	RA	Unmethy	cg13193455	hypo
cg18451114	RA	Unmethy	cg18451114	hypo
cg21270860	RA	Unmethy	cg21270860	hypo
cg15518113	RA	Methy	cg15518113	hyper
cg10375409	RA	Methy	cg10375409	hyper
cg18858739	RA	Methy	cg18858739	hyper
cg03727968	RA	Methy	cg03727968	hyper
cg24929556	RA	Methy	cg24929556	hyper
cg13210595	RA	Methy	cg13210595	hyper
cg09473725	RA	Methy	cg09473725	hyper
cg14278300	RA	Methy	cg14278300	hyper
cg19762811	RA	Methy	cg19762811	hyper
cg01751245	RA	Methy	cg01751245	hyper
cg24872815	RA	Methy	cg24872815	hyper
cg08052292	RA	Unmethy	cg08052292	hypo
cg26319282	RA	Methy	cg26319282	hyper
cg20888995	RA	Unmethy	cg20888995	hypo
cg10913077	RA	Methy	cg10913077	hyper
cg20749059	RA	Unmethy	cg20749059	hypo
cg02031326	RA	Methy	cg02031326	hyper
cg24634060	RA	Unmethy	cg24634060	hypo
cg10583651	RA	Methy	cg10583651	hyper
cg00136405	RA	Methy	cg00136405	hyper
cg11591520	RA	Methy	cg11591520	hyper
cg14967393	RA	Methy	cg14967393	hyper
cg18700420	RA	Methy	cg18700420	hyper
cg24729879	RA	Methy	cg24729879	hyper
cg16375820	RA	Methy	cg16375820	hyper
cg06061692	RA	Methy	cg06061692	hyper
cg21620078	RA	Methy	cg21620078	hyper
cg19941708	RA	Methy	cg19941708	hyper
cg05511755	RA	Methy	cg05511755	hyper
cg07145038	RA	Methy	cg07145038	hyper
cg16462648	RA	Methy	cg16462648	hyper
cg15667493	RA	Methy	cg15667493	hyper
cg05225461	RA	Methy	cg05225461	hyper
cg21184216	RA	Methy	cg21184216	hyper
cg21727129	RA	Methy	cg21727129	hyper
cg09430946	RA	Methy	cg09430946	hyper
cg03521696	RA	Unmethy	cg03521696	hypo
cg26544072	RA	Unmethy	cg26544072	hypo
cg03997176	RA	Unmethy	cg03997176	hypo
cg15174396	RA	Unmethy	cg15174396	hypo
cg14914254	RA	Unmethy	cg14914254	hypo
cg06212945	RA	Unmethy	cg06212945	hypo
cg12358432	RA	Methy	cg12358432	hyper
cg25138053	RA	Unmethy	cg25138053	hypo
cg27144224	RA	Unmethy	cg27144224	hypo
cg27527338	RA	Methy	cg27527338	hyper
cg00579921	RA	Methy	cg00579921	hyper
cg15011943	RA	Methy	cg15011943	hyper
cg19516921	RA	Methy	cg19516921	hyper
cg16699635	RA	Methy	cg16699635	hyper
cg15980797	RA	Unmethy	cg15980797	hypo
cg12744820	RA	Unmethy	cg12744820	hypo
cg05510665	RA	Unmethy	cg05510665	hypo
cg05124190	RA	Methy	cg05124190	hyper
cg26400113	RA	Methy	cg26400113	hyper
cg18669406	RA	Unmethy	cg18669406	hypo
cg23249717	RA	Methy	cg23249717	hyper
cg21839211	RA	Unmethy	cg21839211	hypo
cg16151362	RA	Unmethy	cg16151362	hypo
cg10661263	RA	Methy	cg10661263	hyper
cg01205058	RA	Methy	cg01205058	hyper
cg05259303	RA	Methy	cg05259303	hyper
cg03533561	RA	Methy	cg03533561	hyper
cg20143758	RA	Methy	cg20143758	hyper
cg16523158	RA	Methy	cg16523158	hyper
cg14192130	RA	Methy	cg14192130	hyper
cg18650263	RA	Methy	cg18650263	hyper
cg19954286	RA	Methy	cg19954286	hyper
cg21794222	RA	Methy	cg21794222	hyper
cg01646461	RA	Methy	cg01646461	hyper
cg05094429	RA	Methy	cg05094429	hyper
cg13615963	RA	Unmethy	cg13615963	hypo
cg07413467	RA	Methy	cg07413467	hyper
cg25284397	RA	Methy	cg25284397	hyper
cg06688763	RA	Methy	cg06688763	hyper
cg15261712	RA	Methy	cg15261712	hyper
cg05101437	RA	Unmethy	cg05101437	hypo
cg05278074	RA	Methy	cg05278074	hyper
cg00907204	RA	Unmethy	cg00907204	hypo
cg11274371	RA	Unmethy	cg11274371	hypo
cg27443224	RA	Methy	cg27443224	hyper
cg13825112	RA	Methy	cg13825112	hyper
cg14614490	RA	Methy	cg14614490	hyper
cg04236137	RA	Methy	cg04236137	hyper
cg14518276	RA	Methy	cg14518276	hyper
cg14064762	RA	Unmethy	cg14064762	hypo
cg04517263	RA	Unmethy	cg04517263	hypo
cg04665046	RA	Unmethy	cg04665046	hypo
cg14368473	RA	Methy	cg14368473	hyper
cg04270799	RA	Unmethy	cg04270799	hypo
cg20416037	RA	Unmethy	cg20416037	hypo
cg25133016	RA	Unmethy	cg25133016	hypo
cg01817029	RA	Unmethy	cg01817029	hypo
cg01030121	RA	Unmethy	cg01030121	hypo
cg04640250	RA	Unmethy	cg04640250	hypo
cg05612673	RA	Methy	cg05612673	hyper
cg09791009	RA	Methy	cg09791009	hyper
cg14905634	RA	Methy	cg14905634	hyper
cg02424715	RA	Methy	cg02424715	hyper
cg24677302	RA	Methy	cg24677302	hyper
cg22780612	RA	Methy	cg22780612	hyper
cg04407490	RA	Methy	cg04407490	hyper
cg24673600	RA	Methy	cg24673600	hyper
cg01515732	RA	Methy	cg01515732	hyper
cg10716823	RA	Unmethy	cg10716823	hypo
cg01692233	RA	Unmethy	cg01692233	hypo
cg05080154	RA	Unmethy	cg05080154	hypo
cg15191648	RA	Unmethy	cg15191648	hypo
cg13794993	RA	Unmethy	cg13794993	hypo
cg10717463	RA	Unmethy	cg10717463	hypo
cg03712816	RA	Unmethy	cg03712816	hypo
cg05678191	RA	Methy	cg05678191	hyper
cg02507889	RA	Methy	cg02507889	hyper
cg23983671	RA	Methy	cg23983671	hyper
cg19785066	RA	Unmethy	cg19785066	hypo
cg06571407	RA	Unmethy	cg06571407	hypo
cg22232207	RA	Unmethy	cg22232207	hypo
cg21601405	RA	Unmethy	cg21601405	hypo
cg12843033	RA	Methy	cg12843033	hyper
cg20588285	RA	Methy	cg20588285	hyper
cg19450046	RA	Methy	cg19450046	hyper
cg25783241	RA	Methy	cg25783241	hyper
cg23366234	RA	Methy	cg23366234	hyper
cg26472802	RA	Methy	cg26472802	hyper
cg19199752	RA	Methy	cg19199752	hyper
cg15829622	RA	Methy	cg15829622	hyper
cg08042487	RA	Methy	cg08042487	hyper
