id	Disese	Call	ProbeID	Status
cg16371229	T2D	Unmethy	cg16371229	hypo
cg22076676	T2D	Methy	cg22076676	hyper
cg01649611	T2D	Unmethy	cg01649611	hypo
cg16472853	T2D	Methy	cg16472853	hyper
cg04588436	T2D	Methy	cg04588436	hyper
cg07469838	T2D	Methy	cg07469838	hyper
cg12972447	T2D	Methy	cg12972447	hyper
cg09670127	T2D	Methy	cg09670127	hyper
cg01005605	T2D	Unmethy	cg01005605	hypo
cg27159979	T2D	Methy	cg27159979	hyper
cg11686208	T2D	Methy	cg11686208	hyper
cg10853543	T2D	Methy	cg10853543	hyper
cg10600647	T2D	Methy	cg10600647	hyper
cg08627352	T2D	Unmethy	cg08627352	hypo
cg15152331	T2D	Methy	cg15152331	hyper
cg04737150	T2D	Methy	cg04737150	hyper
cg01566396	T2D	Unmethy	cg01566396	hypo
cg22609984	T2D	Unmethy	cg22609984	hypo
cg17360854	T2D	Unmethy	cg17360854	hypo
cg26055370	T2D	Methy	cg26055370	hyper
cg00335252	T2D	Unmethy	cg00335252	hypo
cg17824540	T2D	Methy	cg17824540	hyper
cg08035195	T2D	Methy	cg08035195	hyper
cg20385461	T2D	Methy	cg20385461	hyper
cg00314029	T2D	Methy	cg00314029	hyper
cg02772995	T2D	Methy	cg02772995	hyper
cg03298167	T2D	Unmethy	cg03298167	hypo
cg02700894	T2D	Unmethy	cg02700894	hypo
cg15873301	T2D	Unmethy	cg15873301	hypo
cg10245988	T2D	Unmethy	cg10245988	hypo
cg16791134	T2D	Methy	cg16791134	hyper
cg04399631	T2D	Methy	cg04399631	hyper
cg01412654	T2D	Methy	cg01412654	hyper
cg18063278	T2D	Methy	cg18063278	hyper
cg18887186	T2D	Unmethy	cg18887186	hypo
cg10499651	T2D	Methy	cg10499651	hyper
cg07075085	T2D	Methy	cg07075085	hyper
cg07891473	T2D	Unmethy	cg07891473	hypo
cg03427905	T2D	Unmethy	cg03427905	hypo
cg12478384	T2D	Unmethy	cg12478384	hypo
cg23078228	T2D	Methy	cg23078228	hyper
cg25366141	T2D	Unmethy	cg25366141	hypo
cg21324884	T2D	Methy	cg21324884	hyper
cg05509179	T2D	Methy	cg05509179	hyper
cg02917236	T2D	Methy	cg02917236	hyper
cg22931622	T2D	Methy	cg22931622	hyper
cg18649464	T2D	Methy	cg18649464	hyper
cg17251609	T2D	Methy	cg17251609	hyper
cg18060999	T2D	Methy	cg18060999	hyper
cg06329316	T2D	Methy	cg06329316	hyper
cg17580935	T2D	Unmethy	cg17580935	hypo
cg21550580	T2D	Methy	cg21550580	hyper
cg08023852	T2D	Methy	cg08023852	hyper
cg03845962	T2D	Methy	cg03845962	hyper
cg10964627	T2D	Methy	cg10964627	hyper
cg25338423	T2D	Unmethy	cg25338423	hypo
cg21547982	T2D	Unmethy	cg21547982	hypo
cg10009157	T2D	Unmethy	cg10009157	hypo
cg23499115	T2D	Methy	cg23499115	hyper
cg23463008	T2D	Methy	cg23463008	hyper
cg06508320	T2D	Unmethy	cg06508320	hypo
cg13141009	T2D	Unmethy	cg13141009	hypo
cg05131623	T2D	Unmethy	cg05131623	hypo
cg18464903	T2D	Methy	cg18464903	hyper
cg08797864	T2D	Methy	cg08797864	hyper
cg05576949	T2D	Methy	cg05576949	hyper
cg06411479	T2D	Unmethy	cg06411479	hypo
cg25311466	T2D	Methy	cg25311466	hyper
cg17086759	T2D	Methy	cg17086759	hyper
cg06079509	T2D	Methy	cg06079509	hyper
cg01736356	T2D	Unmethy	cg01736356	hypo
cg15498306	T2D	Unmethy	cg15498306	hypo
cg13078134	T2D	Methy	cg13078134	hyper
cg08748033	T2D	Methy	cg08748033	hyper
cg26320830	T2D	Unmethy	cg26320830	hypo
cg21169914	T2D	Unmethy	cg21169914	hypo
cg10127275	T2D	Unmethy	cg10127275	hypo
cg02990869	T2D	Unmethy	cg02990869	hypo
cg07160277	T2D	Unmethy	cg07160277	hypo
cg10453719	T2D	Unmethy	cg10453719	hypo
cg25291004	T2D	Unmethy	cg25291004	hypo
cg08410996	T2D	Unmethy	cg08410996	hypo
cg05454501	T2D	Unmethy	cg05454501	hypo
cg05278955	T2D	Methy	cg05278955	hyper
cg19657875	T2D	Unmethy	cg19657875	hypo
cg16418800	T2D	Unmethy	cg16418800	hypo
cg16461538	T2D	Unmethy	cg16461538	hypo
cg17117794	T2D	Methy	cg17117794	hyper
cg14729847	T2D	Unmethy	cg14729847	hypo
cg00682125	T2D	Methy	cg00682125	hyper
cg02642117	T2D	Methy	cg02642117	hyper
cg21498062	T2D	Methy	cg21498062	hyper
cg16907527	T2D	Methy	cg16907527	hyper
cg03316570	T2D	Methy	cg03316570	hyper
cg26464586	T2D	Methy	cg26464586	hyper
cg02213045	T2D	Methy	cg02213045	hyper
cg19274606	T2D	Unmethy	cg19274606	hypo
cg15377009	T2D	Methy	cg15377009	hyper
cg21919820	T2D	Methy	cg21919820	hyper
cg26438325	T2D	Methy	cg26438325	hyper
