id	Disese	Call	ProbeID	Status
cg10529401	SLE	Methy	cg10529401	hyper
cg08121408	SLE	Methy	cg08121408	hyper
cg18046365	SLE	Methy	cg18046365	hyper
cg07793724	SLE	Methy	cg07793724	hyper
cg03601886	SLE	Methy	cg03601886	hyper
cg01100796	SLE	Unmethy	cg01100796	hypo
cg05928873	SLE	Methy	cg05928873	hyper
cg09256413	SLE	Methy	cg09256413	hyper
cg04985396	SLE	Unmethy	cg04985396	hypo
cg16517394	SLE	Unmethy	cg16517394	hypo
cg10861599	SLE	Unmethy	cg10861599	hypo
cg24146518	SLE	Unmethy	cg24146518	hypo
cg01949993	SLE	Unmethy	cg01949993	hypo
cg05929019	SLE	Unmethy	cg05929019	hypo
cg06211724	SLE	Unmethy	cg06211724	hypo
cg22346461	SLE	Unmethy	cg22346461	hypo
cg21244038	SLE	Methy	cg21244038	hyper
cg27236007	SLE	Methy	cg27236007	hyper
cg14508517	SLE	Methy	cg14508517	hyper
cg01379656	SLE	Methy	cg01379656	hyper
cg09890077	SLE	Methy	cg09890077	hyper
cg14250740	SLE	Unmethy	cg14250740	hypo
cg14855874	SLE	Unmethy	cg14855874	hypo
cg01116491	SLE	Methy	cg01116491	hyper
cg23730277	SLE	Methy	cg23730277	hyper
cg21997986	SLE	Methy	cg21997986	hyper
cg26396815	SLE	Methy	cg26396815	hyper
cg16605743	SLE	Methy	cg16605743	hyper
cg22778014	SLE	Methy	cg22778014	hyper
cg01150943	SLE	Methy	cg01150943	hyper
cg26442903	SLE	Methy	cg26442903	hyper
cg01344273	SLE	Unmethy	cg01344273	hypo
cg19039028	SLE	Unmethy	cg19039028	hypo
cg22266749	SLE	Unmethy	cg22266749	hypo
cg09926747	SLE	Unmethy	cg09926747	hypo
cg14868574	SLE	Unmethy	cg14868574	hypo
cg18160072	SLE	Unmethy	cg18160072	hypo
cg00394261	SLE	Methy	cg00394261	hyper
cg10967114	SLE	Methy	cg10967114	hyper
cg14135060	SLE	Methy	cg14135060	hyper
cg12642815	SLE	Unmethy	cg12642815	hypo
cg22480558	SLE	Unmethy	cg22480558	hypo
cg26189303	SLE	Unmethy	cg26189303	hypo
cg16989132	SLE	Methy	cg16989132	hyper
