id	Disese	Call	ProbeID	Status
cg24585453	T1D	Unmethy	cg24585453	hypo
cg22531889	T1D	Unmethy	cg22531889	hypo
cg01804183	T1D	Methy	cg01804183	hyper
cg01027405	T1D	Methy	cg01027405	hyper
cg09142144	T1D	Methy	cg09142144	hyper
cg14132167	T1D	Methy	cg14132167	hyper
cg17066529	T1D	Methy	cg17066529	hyper
cg17486314	T1D	Methy	cg17486314	hyper
cg09818385	T1D	Methy	cg09818385	hyper
cg09757525	T1D	Unmethy	cg09757525	hypo
cg24700316	T1D	Methy	cg24700316	hyper
cg20768122	T1D	Methy	cg20768122	hyper
cg03035849	T1D	Methy	cg03035849	hyper
cg20229609	T1D	Methy	cg20229609	hyper
cg12592691	T1D	Methy	cg12592691	hyper
cg05950498	T1D	Methy	cg05950498	hyper
cg17727071	T1D	Methy	cg17727071	hyper
cg05843966	T1D	Methy	cg05843966	hyper
cg10765387	T1D	Methy	cg10765387	hyper
cg07152355	T1D	Methy	cg07152355	hyper
cg23122650	T1D	Methy	cg23122650	hyper
cg14997413	T1D	Unmethy	cg14997413	hypo
cg14340481	T1D	Methy	cg14340481	hyper
cg14269813	T1D	Methy	cg14269813	hyper
cg14047387	T1D	Methy	cg14047387	hyper
cg14641122	T1D	Methy	cg14641122	hyper
cg14302428	T1D	Methy	cg14302428	hyper
cg23053961	T1D	Methy	cg23053961	hyper
cg06937939	T1D	Unmethy	cg06937939	hypo
cg00242839	T1D	Methy	cg00242839	hyper
cg23126166	T1D	Methy	cg23126166	hyper
cg02719427	T1D	Methy	cg02719427	hyper
cg00221747	T1D	Methy	cg00221747	hyper
cg12528452	T1D	Methy	cg12528452	hyper
cg14890224	T1D	Methy	cg14890224	hyper
cg03760951	T1D	Unmethy	cg03760951	hypo
cg05452899	T1D	Unmethy	cg05452899	hypo
cg17037101	T1D	Unmethy	cg17037101	hypo
cg23676551	T1D	Unmethy	cg23676551	hypo
cg15393937	T1D	Unmethy	cg15393937	hypo
cg02835822	T1D	Unmethy	cg02835822	hypo
cg04072545	T1D	Unmethy	cg04072545	hypo
cg14188639	T1D	Unmethy	cg14188639	hypo
cg13791131	T1D	Unmethy	cg13791131	hypo
cg25574024	T1D	Unmethy	cg25574024	hypo
