id	Disese	Call	ProbeID	Status
cg15700437	Asthma	Unmethy	cg15700437	hypo
cg23726537	Asthma	Unmethy	cg23726537	hypo
cg01864564	Asthma	Unmethy	cg01864564	hypo
cg22723818	Asthma	Methy	cg22723818	hyper
cg23724738	Asthma	Methy	cg23724738	hyper
cg15036529	Asthma	Methy	cg15036529	hyper
cg19884600	Asthma	Methy	cg19884600	hyper
cg00112929	Asthma	Methy	cg00112929	hyper
cg11237207	Asthma	Methy	cg11237207	hyper
cg01258789	Asthma	Methy	cg01258789	hyper
cg13968233	Asthma	Methy	cg13968233	hyper
cg17112757	Asthma	Methy	cg17112757	hyper
cg20707774	Asthma	Methy	cg20707774	hyper
cg21264521	Asthma	Methy	cg21264521	hyper
cg23683497	Asthma	Methy	cg23683497	hyper
cg17738684	Asthma	Methy	cg17738684	hyper
cg16386158	Asthma	Methy	cg16386158	hyper
cg19795292	Asthma	Methy	cg19795292	hyper
cg22650648	Asthma	Unmethy	cg22650648	hypo
cg12982893	Asthma	Methy	cg12982893	hyper
cg17453767	Asthma	Methy	cg17453767	hyper
cg06855485	Asthma	Methy	cg06855485	hyper
cg16578883	Asthma	Methy	cg16578883	hyper
cg23987137	Asthma	Methy	cg23987137	hyper
cg08500112	Asthma	Unmethy	cg08500112	hypo
cg27583655	Asthma	Methy	cg27583655	hyper
cg03323696	Asthma	Unmethy	cg03323696	hypo
cg26078977	Asthma	Unmethy	cg26078977	hypo
cg22706610	Asthma	Unmethy	cg22706610	hypo
cg11258089	Asthma	Unmethy	cg11258089	hypo
cg07190535	Asthma	Unmethy	cg07190535	hypo
cg17287998	Asthma	Methy	cg17287998	hyper
cg21023952	Asthma	Methy	cg21023952	hyper
cg18704047	Asthma	Methy	cg18704047	hyper
cg05141014	Asthma	Methy	cg05141014	hyper
cg02061660	Asthma	Methy	cg02061660	hyper
cg21070081	Asthma	Unmethy	cg21070081	hypo
cg11324660	Asthma	Methy	cg11324660	hyper
cg20710777	Asthma	Methy	cg20710777	hyper
cg14196790	Asthma	Unmethy	cg14196790	hypo
cg23475112	Asthma	Methy	cg23475112	hyper
cg21935083	Asthma	Unmethy	cg21935083	hypo
cg14597804	Asthma	Methy	cg14597804	hyper
cg06584121	Asthma	Methy	cg06584121	hyper
cg06967316	Asthma	Methy	cg06967316	hyper
cg11798521	Asthma	Methy	cg11798521	hyper
cg08421910	Asthma	Methy	cg08421910	hyper
cg26761744	Asthma	Methy	cg26761744	hyper
cg23463700	Asthma	Methy	cg23463700	hyper
cg19376664	Asthma	Methy	cg19376664	hyper
cg14538532	Asthma	Methy	cg14538532	hyper
cg18057469	Asthma	Methy	cg18057469	hyper
cg14635654	Asthma	Methy	cg14635654	hyper
cg12660777	Asthma	Unmethy	cg12660777	hypo
cg14851325	Asthma	Methy	cg14851325	hyper
cg25978487	Asthma	Unmethy	cg25978487	hypo
cg17851795	Asthma	Methy	cg17851795	hyper
cg03280235	Asthma	Methy	cg03280235	hyper
cg18880384	Asthma	Methy	cg18880384	hyper
cg06513958	Asthma	Methy	cg06513958	hyper
cg19117063	Asthma	Methy	cg19117063	hyper
cg17961273	Asthma	Methy	cg17961273	hyper
cg24911364	Asthma	Methy	cg24911364	hyper
cg26805579	Asthma	Methy	cg26805579	hyper
cg26657086	Asthma	Methy	cg26657086	hyper
cg25391023	Asthma	Methy	cg25391023	hyper
cg18067840	Asthma	Methy	cg18067840	hyper
cg11439393	Asthma	Unmethy	cg11439393	hypo
cg15025485	Asthma	Methy	cg15025485	hyper
cg26450574	Asthma	Methy	cg26450574	hyper
cg02707277	Asthma	Methy	cg02707277	hyper
cg01716683	Asthma	Methy	cg01716683	hyper
cg10995964	Asthma	Methy	cg10995964	hyper
cg15279832	Asthma	Methy	cg15279832	hyper
cg00540941	Asthma	Methy	cg00540941	hyper
cg18477188	Asthma	Methy	cg18477188	hyper
cg25061610	Asthma	Methy	cg25061610	hyper
cg13336690	Asthma	Methy	cg13336690	hyper
cg22037249	Asthma	Methy	cg22037249	hyper
cg09321817	Asthma	Unmethy	cg09321817	hypo
cg12865025	Asthma	Methy	cg12865025	hyper
cg23750365	Asthma	Methy	cg23750365	hyper
cg18827221	Asthma	Methy	cg18827221	hyper
cg21151963	Asthma	Methy	cg21151963	hyper
cg14356799	Asthma	Unmethy	cg14356799	hypo
cg17350632	Asthma	Methy	cg17350632	hyper
cg04885678	Asthma	Methy	cg04885678	hyper
cg10136841	Asthma	Methy	cg10136841	hyper
cg17071868	Asthma	Methy	cg17071868	hyper
cg15734436	Asthma	Methy	cg15734436	hyper
cg09059466	Asthma	Methy	cg09059466	hyper
cg19053046	Asthma	Methy	cg19053046	hyper
cg02692313	Asthma	Methy	cg02692313	hyper
cg06437840	Asthma	Methy	cg06437840	hyper
cg12893780	Asthma	Methy	cg12893780	hyper
cg05798641	Asthma	Methy	cg05798641	hyper
cg08870893	Asthma	Methy	cg08870893	hyper
cg21092790	Asthma	Unmethy	cg21092790	hypo
cg04271218	Asthma	Unmethy	cg04271218	hypo
cg25367999	Asthma	Methy	cg25367999	hyper
cg20918537	Asthma	Methy	cg20918537	hyper
cg21847800	Asthma	Methy	cg21847800	hyper
cg01908954	Asthma	Unmethy	cg01908954	hypo
cg02391922	Asthma	Methy	cg02391922	hyper
cg02404349	Asthma	Methy	cg02404349	hyper
cg19667460	Asthma	Methy	cg19667460	hyper
cg23074881	Asthma	Methy	cg23074881	hyper
cg02189597	Asthma	Methy	cg02189597	hyper
cg22390633	Asthma	Unmethy	cg22390633	hypo
cg07971790	Asthma	Methy	cg07971790	hyper
cg15451980	Asthma	Methy	cg15451980	hyper
cg06100161	Asthma	Methy	cg06100161	hyper
cg09670601	Asthma	Methy	cg09670601	hyper
cg09879458	Asthma	Methy	cg09879458	hyper
cg14720274	Asthma	Methy	cg14720274	hyper
cg01400040	Asthma	Methy	cg01400040	hyper
cg16964728	Asthma	Methy	cg16964728	hyper
cg12340454	Asthma	Unmethy	cg12340454	hypo
cg17149655	Asthma	Unmethy	cg17149655	hypo
cg13105599	Asthma	Methy	cg13105599	hyper
cg23731272	Asthma	Methy	cg23731272	hyper
cg02486855	Asthma	Methy	cg02486855	hyper
cg17184477	Asthma	Methy	cg17184477	hyper
cg25594736	Asthma	Unmethy	cg25594736	hypo
cg06846320	Asthma	Methy	cg06846320	hyper
cg07882838	Asthma	Methy	cg07882838	hyper
cg22528123	Asthma	Methy	cg22528123	hyper
cg15723784	Asthma	Methy	cg15723784	hyper
cg24032190	Asthma	Unmethy	cg24032190	hypo
cg13200575	Asthma	Methy	cg13200575	hyper
