chr	pos	strand	ProbeID
chr4	39368611	-	cg16910047
chr14	106146365	-	cg10281502
chr10	70749155	+	cg15451409
chr8	98290601	+	cg23197859
chr7	142659378	-	cg26806603
chr4	178230997	-	cg00883150
chr16	21561581	-	cg02245280
chr7	27225485	-	cg25901381
chr16	875257	-	cg04544033
chr10	95790874	+	cg23439277
chr20	39958363	-	cg09272948
chr17	61623700	-	cg23515619
chr6	106634304	+	cg14790600
chr19	13813300	-	cg12532393
chr1	232651427	-	cg11930197
chr9	132403939	-	cg14143209
chr4	69611479	+	ch.4.69646068F
chr4	69045141	+	cg17495044
chrX	125300111	-	cg10991514
chr14	105821483	-	cg01550215
chr1	21044691	+	cg01054622
chr13	30009956	+	cg10490577
chr3	134165843	+	cg21413797
chr17	738869	-	cg08510234
chr20	52687394	+	cg08927738
chr6	11272495	-	cg11406667
chr4	80869858	-	cg00260889
chr1	87794116	-	cg23267160
chr16	89981919	-	cg26879339
chr4	188046350	-	cg14634156
chr4	3287777	+	cg27096232
chr4	139840514	-	cg27339282
chr15	74420307	-	cg11977693
chr15	99671185	-	cg00462559
chr15	52733625	-	cg21555346
chr1	156571403	-	cg21525449
chr17	5184508	-	cg09394600
chr6	29705436	+	cg15180617
chr4	84031053	+	cg03334839
chr1	3081078	+	cg01203812
chr18	33077497	+	cg04514981
chr11	73372479	-	cg09185399
chr7	149322059	+	cg03674265
chr16	9186050	+	cg20141013
chr6	30001703	-	cg00356815
chr6	30181248	+	cg26846590
chr5	77072171	-	cg15941164
chr13	107214285	-	cg07183799
chr5	6435072	+	cg07179267
chr22	32027605	+	cg15162869
chr16	88519254	+	cg11757961
chr7	3284394	+	cg18270378
chrX	124339995	-	cg22012543
chr10	77542302	-	cg03448754
chr11	119039171	-	cg05169666
chr9	126770664	-	cg23493585
chr11	44972971	+	cg19808323
chr11	47208959	-	cg08300419
chr10	89367706	-	cg06780673
chr7	24772300	-	cg27436603
chr1	246023674	-	cg24639535
chr10	43941753	-	cg03238687
chr19	10491258	+	cg11331422
chr11	30255943	-	cg13280803
chr1	4728842	+	cg18395150
chr19	11850013	+	cg04547158
chr11	1661972	+	cg11902093
chr1	89459529	+	cg11309454
chr6	28545895	-	cg01605921
chr7	1748850	-	cg12780883
chr4	187628413	+	cg02596645
chr6	42306808	-	cg26413708
chr5	179225479	+	cg19846596
chr10	79145228	+	cg14601981
chr4	110736273	+	cg27196940
chr2	56113478	+	cg05140065
chr8	37641112	-	cg03266297
chr17	78163268	-	cg25792439
chr7	51538650	-	cg18963535
chr7	97910878	+	cg04010165
chr20	4666848	-	cg01620308
chr14	88621424	+	cg02222791
chr17	46970570	-	cg03031773
chr9	108424668	+	cg14797990
chr3	187451470	-	cg02472825
chr3	42623511	+	cg13791938
chr10	120437770	+	ch.10.2535095F
chr16	15252968	-	cg08160891
chr6	166260012	-	cg20418529
chr1	232711080	-	cg12721881
chr1	15250209	-	cg23280013
chr17	4443191	-	cg04203950
chr9	99687016	+	cg06037511
chr6	145271257	-	cg24973343
chr17	46662371	+	cg22266211
chr12	19283425	+	cg10675659
chr10	135083880	+	cg00851312
